iid,id,gender,condtn,wave,order,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
2,2,0,1,1,1,14,1,-0.21,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,3,15,0,0.32,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,10.00,10.00,10.00,10.00,7.00,8.00,10.00,1.00,1,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,2,16,0,0.73,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,8.00,7.00,5.00,7.00,7.00,7.00,5.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,7,17,0,0.60,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,5.00,3.00,4.00,3.00,5.00,3.00,4.00,3.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7.00,7.00,7.00,7.00,7.00,5.00,7.00,6.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,4,19,1,0.11,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,8.00,6.00,9.00,9.00,8.00,7.00,8.00,8.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
2,2,0,1,1,5,20,0,0.39,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,6.00,5.00,7.00,7.00,9.00,7.00,6.00,9.00,2,24,1.00,2,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45.00,5.00,25.00,20.00,0.00,5.00,7,5,10,8,3
3,3,0,1,1,6,11,0,-0.24,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,7.00,8.00,6.00,5.00,8.00,4.00,5.00,2.00,1,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,5,12,0,-0.14,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,7.00,10.00,6.00,6.00,5.00,7.00,3.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,2,13,0,0.09,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,7,14,0,-0.04,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,9.00,8.00,8.00,8.00,8.00,7.00,7.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,9,15,0,-0.14,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,6.00,10.00,8.00,6.00,,,6.00,1.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,8,16,0,-0.30,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,7.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,3,17,0,-0.26,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,6.00,3.00,5.00,4.00,5.00,4.00,2.00,2.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,4,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4.00,5.00,6.00,4.00,6.00,4.00,5.00,1.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,10,19,0,-0.15,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,7.00,7.00,6.00,8.00,7.00,7.00,7.00,7.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
3,3,0,1,1,1,20,0,-0.47,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,5.00,6.00,8.00,5.00,8.00,6.00,5.00,5.00,2,25,2.00,2,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,35.00,10.00,35.00,10.00,10.00,0.00,8,9,8,9,8
4,4,0,1,1,3,11,0,-0.18,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,6.00,7.00,8.00,7.00,7.00,5.00,6.00,3.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,2,12,0,-0.18,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,5.00,10.00,6.00,6.00,5.00,6.00,3.00,1,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,9,13,0,0.05,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,4,14,1,-0.18,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,7.00,7.00,7.00,9.00,9.00,9.00,8.00,10.00,1,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,6,15,0,0.21,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,8.00,8.00,9.00,8.00,8.00,9.00,9.00,7.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,5,16,0,0.37,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,6.00,6.00,7.00,7.00,8.00,7.00,6.00,6.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,10,17,0,0.35,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,1,7.00,6.00,3.00,5.00,6.00,5.00,6.00,4.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,1,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.00,7.00,8.00,6.00,6.00,5.00,7.00,7.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,7,19,1,-0.47,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,7.00,7.00,7.00,10.00,9.00,10.00,8.00,8.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
4,4,0,1,1,8,20,0,-0.19,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,7.00,8.00,8.00,7.00,8.00,7.00,7.00,7.00,2,23,1.00,2,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20.00,20.00,20.00,20.00,10.00,10.00,7,8,9,7,8
5,5,0,1,1,1,11,0,-0.43,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,6.00,8.00,8.00,8.00,7.00,6.00,6.00,5.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,10,12,0,0.00,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,7.00,10.00,7.00,6.00,5.00,7.00,4.00,1,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,7,13,0,-0.17,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,2,14,1,0.08,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,6.00,8.00,6.00,8.00,10.00,10.00,7.00,7.00,1,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,4,15,0,-0.16,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,0,5.00,9.00,9.00,7.00,9.00,5.00,5.00,7.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,3,16,0,0.06,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,0,5.00,8.00,7.00,7.00,7.00,7.00,6.00,7.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,8,17,0,-0.05,1,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,2.00,3.00,4.00,4.00,5.00,3.00,3.00,3.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,9,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5.00,5.00,6.00,5.00,5.00,5.00,6.00,5.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,5,19,1,-0.13,1,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,5.00,9.00,9.00,9.00,9.00,6.00,7.00,7.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
5,5,0,1,1,6,20,0,-0.06,1,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,3.00,10.00,7.00,7.00,10.00,5.00,4.00,10.00,2,21,1.00,2,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20.00,5.00,25.00,25.00,10.00,15.00,6,3,6,10,8
6,6,0,1,1,5,11,0,0.33,0,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,7.00,9.00,8.00,9.00,8.00,4.00,7.00,4.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,4,12,0,0.37,0,22,2,60.00,0.00,0.00,40.00,0.00,0.00,0,6.00,8.00,10.00,6.00,7.00,6.00,7.00,4.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,1,13,0,-0.51,1,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,6,14,1,0.12,0,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,6.00,8.00,8.00,7.00,9.00,8.00,7.00,7.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,8,15,0,0.35,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,9.00,7.00,9.00,7.00,9.00,6.00,9.00,2.00,1,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,7,16,0,0.19,0,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,6.00,6.00,8.00,8.00,8.00,7.00,6.00,6.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,2,17,0,0.47,0,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,5.00,6.00,8.00,4.00,5.00,4.00,3.00,3.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,3,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.00,7.00,8.00,7.00,8.00,5.00,7.00,6.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,9,19,1,0.46,0,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,6.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
6,6,0,1,1,10,20,0,0.43,0,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,7.00,10.00,10.00,6.00,10.00,7.00,6.00,7.00,2,23,1.00,4,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10.00,25.00,20.00,25.00,5.00,15.00,5,7,8,9,5
7,7,0,1,1,2,11,0,0.19,0,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,7.00,8.00,8.00,8.00,7.00,7.00,7.00,4.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,1,12,0,0.21,0,22,2,60.00,0.00,0.00,40.00,0.00,0.00,1,7.00,9.00,10.00,6.00,6.00,5.00,8.00,4.00,1,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,8,13,0,0.52,1,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,3,14,1,-0.46,0,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,8.00,8.00,9.00,8.00,9.00,9.00,8.00,7.00,1,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,5,15,0,-0.27,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,8.00,7.00,9.00,6.00,9.00,5.00,8.00,4.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,4,16,0,0.59,0,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,8.00,8.00,8.00,6.00,6.00,6.00,7.00,7.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,9,17,0,0.31,0,30,2,35.00,15.00,25.00,10.00,5.00,10.00,0,7.00,6.00,5.00,4.00,4.00,3.00,5.00,4.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,10,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8.00,7.00,6.00,7.00,7.00,5.00,7.00,5.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,6,19,1,-0.34,0,28,2,50.00,0.00,25.00,10.00,0.00,15.00,1,9.00,7.00,9.00,9.00,9.00,10.00,9.00,9.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
7,7,0,1,1,7,20,0,-0.16,0,24,2,100.00,0.00,0.00,0.00,0.00,0.00,0,7.00,6.00,8.00,6.00,8.00,7.00,7.00,7.00,2,22,1.00,4,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15.00,15.00,25.00,20.00,15.00,10.00,6,6,5,7,7
8,8,0,1,1,7,11,0,-0.03,1,27,2,35.00,20.00,20.00,20.00,0.00,5.00,0,8.00,7.00,6.00,6.00,6.00,5.00,7.00,4.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,8,0,1,1,6,12,1,-0.11,1,22,2,60.00,0.00,0.00,40.00,0.00,0.00,1,8.00,8.00,10.00,7.00,6.00,5.00,9.00,4.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,8,0,1,1,3,13,1,0.42,0,22,4,19.00,18.00,19.00,18.00,14.00,12.00,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,8,0,1,1,8,14,1,-0.40,1,23,2,30.00,5.00,15.00,40.00,5.00,5.00,1,8.00,8.00,8.00,8.00,8.00,7.00,8.00,7.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,8,0,1,1,10,15,1,-0.23,0,24,3,30.00,10.00,20.00,10.00,10.00,20.00,1,9.00,9.00,8.00,9.00,,7.00,9.00,7.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,8,0,1,1,9,16,1,0.28,1,25,2,50.00,0.00,30.00,10.00,0.00,10.00,1,8.00,7.00,7.00,7.00,8.00,7.00,7.00,6.00,2,25,13.00,2,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
